timestamp,x,y,theta,linear_speed,angular_speed,angular_cmd,speed_cmd,cte,safety_flag
1767866914.3028066,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.3058965,0.0,0.0,0.0,0.5,0.03994833174205965,0.03994833174205965,0.5,-0.04993541467757456,0
1767866914.3111138,0.0,0.0,0.0,0.5,0.03994833174205965,0.03994833174205965,0.5,-0.04993541467757456,0
1767866914.318259,0.0,0.0,0.0,0.5,0.03985323224748889,0.03985323224748889,0.5,-0.04981654030936111,0
1767866914.3201122,0.0,0.0,0.0,0.5,0.03985323224748889,0.03985323224748889,0.5,-0.04981654030936111,0
1767866914.32282,0.0,0.0,0.0,0.5,0.03985323224748889,0.03985323224748889,0.5,-0.04981654030936111,0
1767866914.3270595,0.0,0.0,0.0,0.5,0.03757756551106777,0.03757756551106777,0.5,-0.04697195688883471,0
1767866914.3309758,0.0,0.0,0.0,0.5,0.03757756551106777,0.03757756551106777,0.5,-0.04697195688883471,0
1767866914.3340144,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.3369179,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.3517027,0.0,0.0,0.0,0.5,0.03899328140985397,0.03899328140985397,0.5,-0.048741601762317455,0
1767866914.3535914,0.0,0.0,0.0,0.5,0.03899328140985397,0.03899328140985397,0.5,-0.048741601762317455,0
1767866914.3572214,0.0,0.0,0.0,0.5,0.03845910117739724,0.03845910117739724,0.5,-0.048073876471746546,0
1767866914.3622894,0.0,0.0,0.0,0.5,0.03845910117739724,0.03845910117739724,0.5,-0.048073876471746546,0
1767866914.3633204,0.0,0.0,0.0,0.5,0.03845910117739724,0.03845910117739724,0.5,-0.048073876471746546,0
1767866914.3785527,0.0,0.0,0.0,0.5,0.036131649925595255,0.036131649925595255,0.5,-0.04516456240699407,0
1767866914.3794422,0.0,0.0,0.0,0.5,0.036131649925595255,0.036131649925595255,0.5,-0.04516456240699407,0
1767866914.3832903,0.0,0.0,0.0,0.5,0.04023148218790684,0.04023148218790684,0.5,-0.05028935273488355,0
1767866914.392908,0.0,0.0,0.0,0.5,0.03853506814865835,0.03853506814865835,0.5,-0.048168835185822934,0
1767866914.3941236,0.0,0.0,0.0,0.5,0.03853506814865835,0.03853506814865835,0.5,-0.048168835185822934,0
1767866914.3954787,0.0,0.0,0.0,0.5,0.03853506814865835,0.03853506814865835,0.5,-0.048168835185822934,0
1767866914.4029083,0.0,0.0,0.0,0.5,0.03872006734212246,0.03872006734212246,0.5,-0.04840008417765307,0
1767866914.403876,0.0,0.0,0.0,0.5,0.03872006734212246,0.03872006734212246,0.5,-0.04840008417765307,0
1767866914.4047701,0.0,0.0,0.0,0.5,0.03872006734212246,0.03872006734212246,0.5,-0.04840008417765307,0
1767866914.411091,0.0,0.0,0.0,0.5,0.039415718260265464,0.039415718260265464,0.5,-0.04926964782533183,0
1767866914.412016,0.0,0.0,0.0,0.5,0.039415718260265464,0.039415718260265464,0.5,-0.04926964782533183,0
1767866914.4199386,0.0,0.0,0.0,0.5,0.03620091847011029,0.03620091847011029,0.5,-0.04525114808763786,0
1767866914.4212499,0.0,0.0,0.0,0.5,0.03620091847011029,0.03620091847011029,0.5,-0.04525114808763786,0
1767866914.422071,0.0,0.0,0.0,0.5,0.03620091847011029,0.03620091847011029,0.5,-0.04525114808763786,0
1767866914.4271262,0.0,0.0,0.0,0.5,0.039978199913388225,0.039978199913388225,0.5,-0.04997274989173528,0
1767866914.4314063,0.0,0.0,0.0,0.5,0.039978199913388225,0.039978199913388225,0.5,-0.04997274989173528,0
