idx,s,x,y,yaw,kappa,v_ref
244,24.400000,15.074781,-0.740968,2.992576,-0.000000,0.800000
245,24.500000,14.975889,-0.726122,2.992576,0.000000,0.800000
246,24.600000,14.876997,-0.711275,2.924047,-0.686244,0.800000
247,24.700000,14.779434,-0.689709,2.900113,-0.239466,0.800000
248,24.800000,14.682336,-0.665795,2.900113,0.000000,0.800000
249,24.900000,14.585237,-0.641881,2.900113,-0.000000,0.800000
250,25.000000,14.488139,-0.617967,2.900113,-0.000000,0.800000
251,25.100000,14.391040,-0.594053,2.900113,0.000000,0.800000
252,25.200000,14.293941,-0.570140,2.900113,-0.000000,0.800000
253,25.300000,14.196843,-0.546226,2.900113,0.000000,0.800000
254,25.400000,14.099744,-0.522312,2.900113,-0.000000,0.800000
255,25.498493,14.004109,-0.498758,2.900113,-0.000000,0.800000
